"SAMPLE_ID"	"group1"	"group2"	"group3"
"X1MB_8"	"c"	3	"tissue5"
"X1MB_Cec"	"c"	3	"tissue5"
"X1MB_Col"	"a"	1	"tissue4"
"X1MN_8"	"b"	3	"tissue5"
"X1MR_Cec"	"c"	1	"tissue2"
"X1MR_Col"	"c"	2	"tissue5"
"X1MR_Stom"	"b"	1	"tissue3"
"X2MB_8"	"c"	1	"tissue2"
"X2MN_8"	"b"	2	"tissue1"
"X2MN_Cec"	"c"	3	"tissue3"
"X2MN_Col"	"b"	3	"tissue3"
"X2MR_8"	"c"	3	"tissue4"
"X2MR_Cec"	"a"	3	"tissue5"
"X2MR_Col"	"a"	3	"tissue1"
"X3MB_8"	"a"	2	"tissue3"
"X3MB_Cec"	"c"	1	"tissue4"
"X3MB_Col"	"a"	3	"tissue4"
"X3MB_Duo"	"c"	1	"tissue2"
"X3MN_8"	"b"	2	"tissue1"
"X3MN_Cec_soup"	"a"	3	"tissue3"
"X3MR_8"	"a"	3	"tissue2"
"X3MR_Cec"	"c"	2	"tissue2"
"X3MR_Col"	"b"	3	"tissue5"
"X41MN_6"	"c"	3	"tissue5"
"X41MN_Cec"	"a"	1	"tissue4"
"X41MN_Col"	"c"	3	"tissue3"
"X41MN_Stom"	"b"	1	"tissue1"
"X42MB_Cec"	"a"	2	"tissue1"
"X42MB_Col"	"c"	1	"tissue1"
"X42MB_Duo"	"c"	1	"tissue5"
"X42MB_Stom"	"b"	2	"tissue5"
"X43MB_Stom"	"c"	3	"tissue2"
"X45FB_6wk"	"b"	1	"tissue5"
"X4MB_8"	"b"	2	"tissue3"
"X4MB_Cec"	"b"	2	"tissue4"
"X4MB_Col"	"b"	3	"tissue3"
"X4MB_Col_cont"	"c"	1	"tissue2"
"X4MB_Duo"	"a"	1	"tissue2"
"X4MN_8"	"b"	2	"tissue1"
"X4MN_8w"	"b"	2	"tissue1"
"X4MN_Cec"	"b"	3	"tissue1"
"X4MN_Col"	"b"	1	"tissue5"
"X4MN_Stom"	"a"	3	"tissue4"
"X4MR_8"	"b"	3	"tissue5"
"X5FB_8"	"a"	2	"tissue4"
"X5FB_Cec"	"b"	3	"tissue2"
"X5FB_Col"	"c"	1	"tissue3"
"X5FN_8"	"b"	1	"tissue5"
"X5FR_8"	"a"	2	"tissue3"
"X5FR_Cec"	"b"	2	"tissue1"
"X5FR_Col"	"b"	2	"tissue5"
"X5FR_Stom"	"b"	3	"tissue5"
"X6FR_8"	"c"	1	"tissue2"
"X6FR_Cec"	"a"	3	"tissue3"
"X6FR_Col"	"a"	2	"tissue1"
"X6FR_Stom"	"a"	2	"tissue5"
"X71MB_0"	"b"	2	"tissue1"
"X71MB_12"	"b"	1	"tissue4"
"X71MB_16"	"c"	2	"tissue1"
"X71MB_1_"	"b"	3	"tissue3"
"X71MB_2"	"b"	3	"tissue3"
"X71MB_20"	"c"	3	"tissue1"
"X71MB_4"	"a"	3	"tissue4"
"X71MB_8"	"a"	1	"tissue2"
"X71MB_Cec"	"c"	1	"tissue3"
"X71MB_Col"	"b"	3	"tissue3"
"X71MB_Stom"	"c"	3	"tissue2"
"X71MN_0"	"b"	3	"tissue3"
"X71MN_12"	"a"	2	"tissue4"
"X71MN_16"	"b"	3	"tissue3"
"X71MN_1_"	"b"	3	"tissue2"
