Taxon_Name	Level	1MB_8	1MB_Cec	1MB_Col	1MN_8	1MR_Cec	1MR_Col	1MR_Stom	2MB_8	2MN_8	2MN_Cec	2MN_Col	2MR_8	2MR_Cec	2MR_Col	3MB_8	3MB_Cec	3MB_Col	3MB_Duo	3MN_8	3MN_Cec_soup	3MR_8	3MR_Cec	3MR_Col	41MN_6	41MN_Cec	41MN_Col	41MN_Stom	42MB_Cec	42MB_Col	42MB_Duo	42MB_Stom	43MB_Stom	45FB_6wk	4MB_8	4MB_Cec	4MB_Col	4MB_Col_cont	4MB_Duo	4MN_8	4MN_8w	4MN_Cec	4MN_Col	4MN_Stom	4MR_8	5FB_8	5FB_Cec	5FB_Col	5FN_8	5FR_8	5FR_Cec	5FR_Col	5FR_Stom	6FR_8	6FR_Cec	6FR_Col	6FR_Stom	71MB_0	71MB_12	71MB_16	71MB_1_	71MB_2	71MB_20	71MB_4	71MB_8	71MB_Cec	71MB_Col	71MB_Stom	71MN_0	71MN_12	71MN_16	71MN_1_	71MN_2	71MN_20	71MN_4	71MN_8	71MN_Cec	71MN_Col	71MN_Duo	71MN_Stom	71MR_0	71MR_12	71MR_16	71MR_1_	71MR_2	71MR_4	71MR_8	71MR_Cec	72MB_0	72MB_12	72MB_16	72MB_1_	72MB_20	72MB_4	72MB_8	72MB_Cec	72MB_Col	72MB_Duo	72MB_Stom	72MG_0	72MG_1	72MG_12	72MG_16	72MG_2	72MG_20	72MG_4	72MG_8	72MG_Cec	72MN_0	72MN_12	72MN_16	72MN_1_	72MN_2	72MN_20	72MN_4	72MN_8	72MR_0	72MR_1	72MR_12	72MR_16	72MR_2	72MR_20	72MR_4	72MR_8	72MR_Col	72MR_Duo	72MR_Stom	75MR_8	76MB_8	76MN_8	76MR_8	76MR_8w	77FB_8	77FB_8w	77FN_8	77FN_8w	77FR_8	78FN_8	78FR_8	7FN_8	7FN_Cec	7FN_Col	7FN_Duo	7FN_Stom	7FR_8	7FR_8w	7FR_Col	7FR_Duo	7FR_Stom	8FB_8	8FB_Cec	8FB_Stom	8FR_8	8FR_Cec	8FR_Cec_soup	_71MR_20
Archaea	domain	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	3	15	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	22	2	0	0	0	0	0	0	0	2	0	0	2	0
Thermoprotei	class	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Euryarchaeota	phylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanomicrobiales_incertae_sedis	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanolinea	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0
Bacteria	domain	67	93	209	136	252	163	247	283	110	446	159	334	20	255	208	214	190	197	135	22	342	461	177	168	243	186	459	412	235	3418	24	49	77	130	261	422	520	1439	289	366	328	205	91	279	126	175	8	105	21	196	188	136	161	172	160	95	1031	248	120	1503	916	52	65	90	158	186	1077	171	393	152	1478	81	61	169	129	530	121	5008	3	721	176	154	66	182	382	240	14	481	531	330	623	277	250	1029	32	124	4924	3	675	887	443	664	497	258	408	193	42	634	399	585	520	245	142	493	473	705	390	107	162	318	226	140	256	173	66	22	95	368	386	189	272	82	0	162	4	36	187	389	218	104	175	8395	133	59	331	177	334	1	333	110	181	335	509	152	378
Actinobacteria	phylum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacteria	class	19	3	0	2	2	0	6	23	0	9	0	6	0	0	4	2	2	0	2	0	9	4	8	11	0	0	0	2	2	0	0	2	5	5	2	20	10	0	0	11	9	22	0	22	4	0	0	14	2	0	0	0	0	8	10	0	176	78	27	25	61	57	8	18	0	4	0	32	6	11	35	5	10	17	22	3	0	0	2	143	2	8	2	7	15	18	1	95	10	25	111	36	34	323	1	0	0	0	123	220	28	101	121	18	115	26	0	129	31	31	88	30	6	207	241	65	79	22	8	208	12	5	157	0	0	0	0	175	27	7	23	4	0	5	0	0	67	73	10	0	0	0	2	0	18	0	0	0	12	0	5	8	38	8	37
Ilumatobacter	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomycetales	order	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	2	1	2	2	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	15	4	0	8	0	0	0	0	4	0	0	2	4	0	17	0	0	4	0	0	0	8	0	0	0	0	0	2	0	1	0	4	0	0	3	0	0	0	0	0	8	0	7	1	0	3	2	0	6	0	0	6	2	0	6	2	2	2	0	2	1	2	0	6	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	2	0	0	0	6	4	0	0	0	8	0	0	0	0	2	2	0	0
