Taxon_Name	Level	1MB_8	1MB_Cec	1MB_Col	1MN_8	1MR_Cec	1MR_Col	1MR_Stom	2MB_8	2MN_8	2MN_Cec	2MN_Col	2MR_8	2MR_Cec	2MR_Col	3MB_8	3MB_Cec	3MB_Col	3MB_Duo	3MN_8	3MN_Cec_soup	3MR_8	3MR_Cec	3MR_Col	41MN_6	41MN_Cec	41MN_Col	41MN_Stom	42MB_Cec	42MB_Col	42MB_Duo	42MB_Stom	43MB_Stom	45FB_6wk	4MB_8	4MB_Cec	4MB_Col	4MB_Col_cont	4MB_Duo	4MN_8	4MN_8w	4MN_Cec	4MN_Col	4MN_Stom	4MR_8	5FB_8	5FB_Cec	5FB_Col	5FN_8	5FR_8	5FR_Cec	5FR_Col	5FR_Stom	6FR_8	6FR_Cec	6FR_Col	6FR_Stom	71MB_0	71MB_12	71MB_16	71MB_1_	71MB_2	71MB_20	71MB_4	71MB_8	71MB_Cec	71MB_Col	71MB_Stom	71MN_0	71MN_12	71MN_16	71MN_1_	71MN_2	71MN_20	71MN_4	71MN_8	71MN_Cec	71MN_Col	71MN_Duo	71MN_Stom	71MR_0	71MR_12	71MR_16	71MR_1_	71MR_2	71MR_4	71MR_8	71MR_Cec	72MB_0	72MB_12	72MB_16	72MB_1_	72MB_20	72MB_4	72MB_8	72MB_Cec	72MB_Col	72MB_Duo	72MB_Stom	72MG_0	72MG_1	72MG_12	72MG_16	72MG_2	72MG_20	72MG_4	72MG_8	72MG_Cec	72MN_0	72MN_12	72MN_16	72MN_1_	72MN_2	72MN_20	72MN_4	72MN_8	72MR_0	72MR_1	72MR_12	72MR_16	72MR_2	72MR_20	72MR_4	72MR_8	72MR_Col	72MR_Duo	72MR_Stom	75MR_8	76MB_8	76MN_8	76MR_8	76MR_8w	77FB_8	77FB_8w	77FN_8	77FN_8w	77FR_8	78FN_8	78FR_8	7FN_8	7FN_Cec	7FN_Col	7FN_Duo	7FN_Stom	7FR_8	7FR_8w	7FR_Col	7FR_Duo	7FR_Stom	8FB_8	8FB_Cec	8FB_Stom	8FR_8	8FR_Cec	8FR_Cec_soup	_71MR_20
Archaea	domain	0.0	0.0	2.62694722463e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000145127349249	0.0	0.0	0.0	2.68550098021e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000332478388905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000499064254523	0.0	0.0	0.0	0.0	1.99700449326e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16015380295e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.02044692286e-05	0.0	5.2959556552e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.53916303384e-06	6.07312036925e-05	0.000236172122243	0.0	0.0	5.50494068426e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23185314459e-05	0.0	3.66186352235e-05	0.000244714173845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.09852862822e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.79082241892e-05	0.0	4.07680704472e-05	0.000806865693538	4.85001333754e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7065866044e-05	0.0	0.0	2.67981562868e-05	0.0
Thermoprotei	class	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53063710347e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23185314459e-05	0.0	0.0	0.000146828504307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.66757133426e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Euryarchaeota	phylum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.29792325981e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanomicrobiales_incertae_sedis	family	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63412043468e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.1489616299e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7885669538e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000183378566713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanolinea	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000207986688852	0.0	0.0	0.000142490738102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000249532127261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000125958465196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000440485512921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000110027140028	0.0	0.0	0.0	0.0	0.00107962213225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria	domain	0.00172600340048	0.00219764639161	0.00274515984974	0.00381401088115	0.00318314449202	0.00280990880725	0.00528353547669	0.00656231884058	0.00282732740451	0.00630575859973	0.00324059920514	0.00792633727277	0.00267486960011	0.00400471142521	0.00363344163784	0.00359132711284	0.00486207073033	0.014295043901	0.00265168627605	0.000780058858987	0.00324777071878	0.00619007975938	0.00378577234033	0.00312140017093	0.00264452376807	0.00281362034278	0.0238664725458	0.0077015103933	0.00329380764163	0.162344447611	0.000602243356503	0.00100995527341	0.00122007257055	0.00277386591559	0.00353289927853	0.00786711657128	0.00558065658571	0.179538365565	0.00656952558478	0.00883929865237	0.00529322531711	0.0038150181446	0.00181727408887	0.00564720170023	0.00249935532502	0.00303640212375	0.000983163328008	0.00212503288741	0.000573191036384	0.00318590400026	0.00479701972392	0.0128374551633	0.00385933791979	0.00284612711598	0.0033153750518	0.00201587234223	0.0105586563572	0.00535718143132	0.00217872834889	0.0209258614688	0.0104913526515	0.00126981026104	0.00123513092388	0.00199951123059	0.00319230613812	0.0030394640085	0.0190124808022	0.00383004457186	0.00727117985532	0.00268764919105	0.0237406836289	0.00182976416373	0.00150661924521	0.00253826166624	0.00252441243811	0.00505575640793	0.00244949188226	0.0788499992128	0.000134372480516	0.0155881780641	0.00484434780215	0.016801221907	0.00129990349201	0.00437331795463	0.00856156708055	0.00258567750137	0.000886805599544	0.00951025169543	0.00522303644322	0.00663796918373	0.0116633904334	0.00442435471505	0.00525552355526	0.0166278844289	0.000883270308317	0.00227035538385	0.240994518403	0.000292426162394	0.00696292628582	0.0193960333253	0.00763911641462	0.0094775906366	0.0090632237358	0.00428329514892	0.00796159700269	0.00423217770761	0.00101902173913	0.0119896367178	0.00802897675823	0.00962202704036	0.00987354270307	0.00566788506917	0.00290995532604	0.00919261607309	0.00757490831638	0.0116806945457	0.00665847162467	0.00316268621424	0.0047056089697	0.00571613459879	0.00384713592646	0.0036772431183	0.00432286389733	0.00366246083496	0.00395351623338	0.000403196246609	0.00294555376411	0.00897188970427	0.00740158386225	0.00400364352744	0.00605237978683	0.00199295175598	0.0	0.0024520191318	0.00082593433822	0.00145202274836	0.00395574640916	0.00727592398623	0.00413199643663	0.00274601959179	0.00356720616413	0.307892613511	0.00322525886946	0.00603518821604	0.00660929294543	0.00316897625953	0.0901484480432	7.55229967525e-05	0.00309172105806	0.00351493848858	0.00335446087698	0.00779033533324	0.0080971015876	0.0020366598778	0.00809075342466
Actinobacteria	phylum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85469597488e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria	class	0.000489463650884	7.08918190841e-05	0.0	5.6088395311e-05	2.5263051524e-05	0.0	0.000128344991337	0.000533333333333	0.0	0.00012724624977	0.0	0.000142389292325	0.0	0.0	6.98738776508e-05	3.35638047929e-05	5.11796918983e-05	0.0	3.92842411267e-05	0.0	8.54676504943e-05	5.37100196042e-05	0.000171108354365	0.000204377392144	0.0	0.0	0.0	3.7385972783e-05	2.80324054607e-05	0.0	0.0	4.12226642208e-05	7.92254915942e-05	0.0001066871506	2.70720251228e-05	0.000372849126601	0.000107320318956	0.0	0.0	0.000265661981355	0.000145240938579	0.000409416581372	0.0	0.0004452990588	7.93446134926e-05	0.0	0.0	0.000283337718322	5.45896225128e-05	0.0	0.0	0.0	0.0	0.000132378005394	0.000207210940738	0.0	0.00180244764197	0.0016849199663	0.0004902138785	0.000348068221371	0.000698659947314	0.00139190740153	0.000152016113708	0.000399902246118	0.0	6.5364817387e-05	0.0	0.000716733487132	0.00011101037947	0.0001945009283	0.000562194808533	0.000112948405169	0.00024698676151	0.000255328096604	0.000430519950686	2.86174891015e-05	0.0	0.0	8.95816536773e-05	0.00309169134975	5.50494068426e-05	0.000872790748418	3.93910149095e-05	0.000168204536717	0.000336187189027	0.000193925812603	6.33432571103e-05	0.00187832413943	9.83622682339e-05	0.000502876453313	0.00207806795844	0.00057500638896	0.000714751203515	0.00521944282852	2.76021971349e-05	0.0	0.0	0.0	0.00126879990097	0.0048107410728	0.000482833543136	0.00144162146731	0.00220653938035	0.000298834545273	0.00224407758654	0.000570137929522	0.0	0.00243953176119	0.000623805211792	0.000509885193592	0.00167090722667	0.000694026743164	0.000122955858847	0.0038597799739	0.00385951988213	0.00107694346875	0.0013487673291	0.000650271931899	0.00023237575159	0.00373885533506	0.00020427270406	0.000131330111368	0.00265113137454	0.0	0.0	0.0	0.0	0.00426652363654	0.000517727368603	0.000148283093609	0.000511782114328	9.72171588285e-05	0.0	7.56796028334e-05	0.0	0.0	0.00141729951558	0.00136540475834	0.000189541120946	0.0	0.0	0.0	4.85001333754e-05	0.0	0.000359417743256	0.0	0.0	0.0	0.000111413371461	0.0	9.26646651099e-05	0.000186037858704	0.000604498743279	0.000107192625147	0.000791952054795
Ilumatobacter	genus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53063710347e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomycetales	order	0.0	0.0	0.0	0.0	0.0	0.0	0.000128344991337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.49369388254e-05	0.0	0.0	7.25636746245e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.49938254013e-05	0.0	4.12226642208e-05	0.0	0.0	0.0	3.72849126601e-05	2.14640637912e-05	0.000124766063631	4.54638448774e-05	4.83021784282e-05	3.22757641287e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.02384084516e-05	0.0	3.25092244924e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000153617696759	8.6406152118e-05	0.0	0.000111381830839	0.0	0.0	0.0	0.0	8.08178769144e-05	0.0	0.0	4.47958429458e-05	7.4006919647e-05	0.0	0.000273066049859	0.0	0.0	6.0077199201e-05	0.0	0.0	0.0	0.000125958465196	0.0	0.0	0.0	0.0	0.0	4.80584390619e-05	0.0	1.07736562557e-05	0.0	7.90873321866e-05	0.0	0.0	5.61639988767e-05	0.0	0.0	0.0	0.0	0.0	0.000391542678152	0.0	7.22081244455e-05	2.18670048763e-05	0.0	4.28204396232e-05	3.6471725295e-05	0.0	0.000117082308863	0.0	0.0	0.000113466593544	4.0245497535e-05	0.0	0.000113925492728	4.62684495443e-05	4.09852862822e-05	3.72925601343e-05	0.0	3.31367221154e-05	1.70730041658e-05	5.91156301726e-05	0.0	0.000107851596204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.58754386301e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000161335860928	0.0	3.74083495436e-05	0.0	0.0	0.0	0.000220054280056	9.70002667507e-05	0.0	0.0	0.0	0.00215924426451	0.0	0.0	0.0	0.0	4.65094646761e-05	3.18157233305e-05	0.0	0.0
